"","order","family","genus","species","stem.length.m","VD.base.um","VD.tip.um","min.length.leaf","max.length.leaf","min.length.petiole","max.length.petiole","min.length.blade","max.length.blade","leaf.type","long.hoja","long.hoja.mean","long.lam.pet.mean","long.hoja.concenso"
"130","Dipsacales","Adoxaceae","Viburnum","Viburnum_microcarpum",6.9,51.27,19.47,7,9,NA,NA,NA,NA,"simple",NA,8,NA,8
"131","Dipsacales","Adoxaceae","Viburnum","Viburnum_tiliifolium",6.88,61.8,24.08,9.5,14,NA,NA,NA,NA,"simple",NA,11.75,NA,11.75
"132","Dipsacales","Caprifoliaceae","Abelia","Abelia_xgrandiflora",3.17,25.45,13.08,2.5,4.5,NA,NA,NA,NA,"simple",NA,3.5,NA,3.5
"133","Dipsacales","Caprifoliaceae","Lonicera","Lonicera_japonica",3.78,42.75,15.82,NA,NA,3,8,3,8,"simple",NA,NA,11,11
"134","Dipsacales","Caprifoliaceae","Lonicera","Lonicera_subspicata",2.95,28.36,16.75,1.6,2.2,NA,NA,NA,NA,"simple",NA,1.9,NA,1.9
"135","Dipsacales","Caprifoliaceae","Symphoricarpos","Symphoricarpos_mollis",1.51,25.16,11.21,1.4,3.8,NA,NA,NA,NA,"simple",NA,2.6,NA,2.6
"136","Dipsacales","Caprifoliaceae","Symphoricarpos","Symphoricarpos_rotundifolius",0.49,20.75,11.71,1.2,2.2,NA,NA,NA,NA,"simple",NA,1.7,NA,1.7
"137","Dipsacales","Cornaceae","Cornus","Cornus_alternifolia",4.57,46.67,12.98,5.08,12.7,NA,NA,NA,NA,"simple",NA,8.89,NA,8.89
"138","Ericales","Actinidiaceae","Actinidia","Actinidia_deliciosa",11.6,196.43,39.64,14.48,14.86,NA,NA,NA,NA,"simple",NA,14.67,NA,14.67
"139","Ericales","Actinidiaceae","Saurauia","Saurauia_scabrida",8.07,108.47,38.51,10,30,NA,NA,NA,NA,"simple",NA,20,NA,20
"140","Ericales","Clethraceae","Clethra","Clethra_alnifolia",2.78,36.35,12.32,NA,NA,2.5,3.5,5,9,"simple",NA,NA,10,10
"141","Ericales","Ebenaceae","Diospyros","Diospyros_intricata",2.22,33.81,8.36,0.7,1,NA,NA,NA,NA,"simple",NA,0.85,NA,0.85
"142","Ericales","Ericaceae","Arctostaphylos","Arctostaphylos_glandulosa",2.14,22.79,9.58,NA,NA,0.5,1,2,4.5,"simple",NA,NA,4,4
"143","Ericales","Ericaceae","Arctostaphylos","Arctostaphylos_patula",1.38,22.28,9.42,NA,NA,0.7,1.5,2.5,6,"simple",NA,NA,5.35,5.35
"144","Ericales","Ericaceae","Arctostaphylos","Arctostaphylos_peninsularis",1.47,25.7,9.62,2,3.2,NA,NA,NA,NA,"simple",NA,2.6,NA,2.6
"145","Ericales","Ericaceae","Arctostaphylos","Arctostaphylos_pringlei",1.72,21.36,9.36,3.5,4.6,NA,NA,NA,NA,"simple",NA,4.05,NA,4.05
"146","Ericales","Ericaceae","Arctostaphylos","Arctostaphylos_uva_ursi",1.05,24.5,9.04,1.27,3.175,NA,NA,NA,NA,"simple",NA,2.2225,NA,2.2225
