order,family,genus,sp,locality,authority,collector,coll,Wood Density g/ml
Laurales,Monimiaceae,Kibaropsis,caledonica,,(Guillaumin) J. Jeremie,Trueba,347,0.63
Santalales,Santalaceae,Phoradendron,villosum,,(Nutt.)Nutt. ex Engelm.,Olson,4375,0.7
Santalales,Santalaceae,Phoradendron,villosum,,(Nutt.)Nutt. ex Engelm.,Olson,4376,0.73
Santalales,Santalaceae,Phoradendron,villosum,,(Nutt.)Nutt. ex Engelm.,Olson,4377,0.71
Sapindales,Burseraceae,Bursera,filicifolia,,Brandegee,Olson,3024,0.43
Sapindales,Burseraceae,Bursera,filicifolia,,Brandegee,Olson,3025,0.34
Sapindales,Burseraceae,Bursera,filicifolia,,Brandegee,Olson,3026,0.43
Laurales,Hernandiaceae,Gyrocarpus,jatrophifolius,,Domin,Olson,1512,0.35
Asterales,Asteraceae,Cassinia,denticulata,,R. Br,Olson,2453,0.47
Asterales,Asteraceae,Cassinia,denticulata,,R. Br,Olson,2454,0.39
Asterales,Asteraceae,Cassinia,denticulata,,R. Br,Olson,2455,0.45
Laurales,Monimiaceae,Wilkiea,hugeliana,,(Tul.)A. DC.,Olson,2374,0.69
Laurales,Monimiaceae,Wilkiea,hugeliana,,(Tul.)A. DC.,Olson,2381,0.65
Laurales,Monimiaceae,Wilkiea,hugeliana,,(Tul.)A. DC.,Olson,2382,0.63
Fabales,Fabaceae,Libidibia,ferrea,,(Mart. ex Tul.) L.P.Queiroz,Olson,4772,0.73
Fabales,Fabaceae,Libidibia,ferrea,,(Mart. ex Tul.) L.P.Queiroz,Olson,4773,0.83
Fabales,Fabaceae,Libidibia,ferrea,,(Mart. ex Tul.) L.P.Queiroz,Olson,4774,0.89
Rosales,Rhamnaceae,Ceanothus,cuneatus,,(Hook.) Nutt. ,Olson,4327,0.67
Rosales,Rhamnaceae,Ceanothus,cuneatus,,(Hook.) Nutt. ,Olson,4328,0.71
Rosales,Rhamnaceae,Ceanothus,cuneatus,,(Hook.) Nutt. ,Olson,4329,0.71
Malpighiales,Salicaceae,Casearia,corymbosa,,Kunth.,Olson,1503,0.57
Malpighiales,Salicaceae,Casearia,corymbosa,,Kunth.,Olson,1505,0.56
Caryophyllales,Amaranthaceae,Froelichia,humboldtiana,,(Schult.) Seub.,Olson,4708,0.71
Malvales,Muntingiaceae,Muntingia,calabura,,L. ,Olson,2776,0.3
Malvales,Muntingiaceae,Muntingia,calabura,,L. ,Olson,2777,0.41
Malvales,Muntingiaceae,Muntingia,calabura,,L. ,Olson,2778,0.29
Malvales,Bixaceae,Cochlospermum,regium,,(Schrank) Pilg.,Olson,4745,0.14
Malvales,Bixaceae,Cochlospermum,regium,,(Schrank) Pilg.,Olson,4746,0.31
Malvales,Bixaceae,Cochlospermum,regium,,(Schrank) Pilg.,Olson,4747,0.19
Asterales,Argophyllaceae,Argophyllum,cryptophlebum,,Zemann,Olson,1962,0.53
Asterales,Argophyllaceae,Argophyllum,cryptophlebum,,Zemann,Olson,1963,0.55
Asterales,Argophyllaceae,Argophyllum,cryptophlebum,,Zemann,Olson,1964,0.6
Sapindales,Burseraceae,Bursera,cerasiifolia,,Brandegee,Olson,4003,0.46
Sapindales,Burseraceae,Bursera,cerasiifolia,,Brandegee,Olson,4004,0.61
Sapindales,Burseraceae,Bursera,cerasiifolia,,Brandegee,Olson,4005,0.39
Fabales,Fabaceae,Ulex,gallii,,Planch.,Camarero,Uga1,0.65
Fabales,Fabaceae,Ulex,gallii,,Planch.,Camarero,Uga2,0.58
Fabales,Fabaceae,Ulex,gallii,,Planch.,Camarero,Uga3,0.65
Paracryphiales,Paracryphiaceae,Quintinia,major,,(Baill.) Schltr.,Trueba,469,0.538461538
Lamiales,Bignoniaceae,Chilopsis,linearis,,(Cav.) Sweet,Olson,2653,0.37
Lamiales,Bignoniaceae,Chilopsis,linearis,,(Cav.) Sweet,Olson,2654,0.32
Lamiales,Bignoniaceae,Chilopsis,linearis,,(Cav.) Sweet,Olson,2655,0.29
Sapindales,Simaroubaceae,Castela,peninsularis,,Rose,Olson,3066,0.67
Sapindales,Simaroubaceae,Castela,peninsularis,,Rose,Olson,3067,0.67
Sapindales,Simaroubaceae,Castela,peninsularis,,Rose,Olson,3068,0.67
Oxalidales,Elaeocarpaceae,Elaeocarpus,angustifolius,,Blume,Rosell,1,0.38
Oxalidales,Elaeocarpaceae,Elaeocarpus,angustifolius,,Blume,Rosell,2,0.46
Oxalidales,Elaeocarpaceae,Elaeocarpus,angustifolius,,Blume,Rosell,3,0.48
Malpighiales,Euphorbiaceae,Adelia,brandegeei,,V. W. Steinm.,Olson,2985,0.57
Malpighiales,Euphorbiaceae,Adelia,brandegeei,,V. W. Steinm.,Olson,2986,0.73
Malpighiales,Euphorbiaceae,Adelia,brandegeei,,V. W. Steinm.,Olson,3004,0.69
Malpighiales,Euphorbiaceae,Adelia,brandegeei,,V. W. Steinm.,Olson,3015,0.77
Myrtales,Myrtaceae,Melaleuca,sp,,,Olson,2180,0.49
Myrtales,Myrtaceae,Melaleuca,sp,,,Olson,2181,0.41
Myrtales,Myrtaceae,Melaleuca,sp,,,Olson,2182,0.43
Fabales,Fabaceae,Ebenopsis,confinis,,(Standl.) Barneby & J.W.Grimes,Olson,3069,0.82
Fabales,Fabaceae,Ebenopsis,confinis,,(Standl.) Barneby & J.W.Grimes,Olson,3070,0.7
